route_id,trip_id,service_id,direction_id,shape_id
15802,1014899,1,0,74
15802,1014900,1,1,75
15802,1014901,1,0,74
15802,1014902,1,1,75
15802,1014903,1,0,74
15802,1014904,1,1,75
15802,1014905,1,0,74
15802,1014906,1,1,75
15802,1014907,1,0,74
15802,1014908,1,1,75
15802,1014909,1,0,74
15802,1014910,1,1,75
15802,1014911,1,0,74
15802,1014912,1,1,75
15802,1014914,1,0,74
15802,1014915,1,1,75
15802,1014916,1,0,74
15802,1014917,1,1,75
15802,1014918,1,0,74
15802,1014919,1,1,75
15802,1014920,1,0,74
15802,1014921,1,1,75
15802,1014922,1,0,74
15802,1014923,1,1,75
15802,1014924,1,0,74
15802,1014925,1,1,75
15802,1014926,1,0,74
15802,1014927,1,1,75
15802,1014928,1,0,74
15802,1014929,1,1,75
15802,1014930,1,0,74
15802,1014931,1,1,75
15802,1014932,1,0,74
15802,1014933,1,1,75
15802,1014934,1,0,74
15802,1014935,1,1,75
15802,1014936,1,0,74
15802,1014937,1,1,75
15802,1014938,1,0,74
15802,1014939,1,1,75
15802,1014940,1,0,74
15802,1014941,1,1,75
15802,1014942,1,0,74
15802,1014943,1,1,75
15802,1014945,1,0,74
15802,1014946,1,1,75
15802,1014947,1,0,74
15802,1014948,1,1,75
15802,1014949,1,0,74
15802,1014950,1,1,75
15802,1014951,1,0,74
15802,1014952,1,1,75
15802,1014953,1,0,74
15802,1014954,1,1,75
15802,1014955,1,0,74
15802,1014956,1,1,75
15802,1014957,1,0,74
15802,1014958,1,1,75
15802,1014959,1,0,74
15802,1014960,1,1,75
15239,1014985,4,0,110
15239,1014986,4,1,111
15239,1014987,4,0,110
15239,1014988,4,1,111
15239,1014990,4,0,110
15239,1014991,4,1,111
15239,1014992,4,0,110
15239,1014993,4,1,111
15239,1014994,4,0,110
15239,1014995,4,1,111
15239,1014996,4,0,110
15239,1014997,4,1,111
15239,1014998,4,0,110
15239,1014999,4,1,111
15239,1015001,4,0,110
15239,1015002,4,1,111
15239,1015003,4,0,110
15239,1015004,4,1,111
15239,1015005,4,0,110
15239,1015006,4,1,111
15239,1015007,4,0,110
15239,1015008,4,1,111
15239,1015009,4,0,110
15239,1015010,4,1,111
15239,1015011,4,0,110
15239,1015012,4,1,111
15239,1015013,4,0,110
15239,1015014,4,1,111
15239,1015016,4,0,110
15239,1015017,4,1,111
15239,1015018,4,0,110
15239,1015019,4,1,111
15239,1015020,4,0,110
15239,1015021,4,1,111
15239,1015023,4,0,110
15239,1015024,4,1,111
15239,1015025,4,0,110
15239,1015026,4,1,111
15239,1015027,4,0,110
15239,1015028,4,1,111
15239,1015029,4,0,110
15239,1015030,4,1,111
15239,1015031,4,0,110
15239,1015032,4,1,111
15239,1015033,4,0,110
15239,1015034,4,1,111
15239,1015035,4,0,110
15239,1015036,4,1,111
15239,1015038,4,0,110
15239,1015039,4,1,111
15239,1015040,4,0,110
15239,1015041,4,1,111
15239,1015042,4,0,110
15239,1015044,4,0,110
15239,1015045,4,1,111
15239,1015046,4,1,112
15239,1015047,4,0,110
15239,1015048,4,1,111
15239,1015049,4,0,110
15239,1015050,4,1,111
15486,1018575,3,0,95
15486,1018576,3,1,139775
15486,1018578,3,0,95
15486,1018579,3,1,139775
15486,1018581,3,0,95
15486,1018582,3,1,139776
15486,1018584,3,0,95
15486,1018585,3,1,139775
15486,1018587,3,0,95
15486,1018588,3,1,139775
15486,1018590,3,0,95
15486,1018591,3,1,139775
15486,1018593,3,0,95
15486,1018594,3,1,139775
15254,1018997,3,1,100
15254,1018998,3,0,101
15254,1018999,3,1,100
15254,1019000,3,0,101
15254,1019001,3,1,100
15254,1019002,3,0,101
15254,1019003,3,1,100
15254,1019004,3,1,100
15254,1019005,3,0,101
15254,1019006,3,1,100
15254,1019007,3,0,101
15254,1019008,3,1,100
15254,1019009,3,0,101
